dimension,n,mst,runtime
0,128,1.272361,0.007256500015500933
0,256,1.198286,0.007056500006001443
0,512,1.221243,0.010365599999204278
0,1024,1.213212,0.023518400033935905
0,2048,1.191876,0.07549640000797808
0,4096,1.200466,0.27311119996011257
0,8192,1.206024,1.038652099960018
0,16384,1.20555,4.297108100028709
0,32768,1.204048,18.680491100007202
1,128,12.274967,0.006424800027161837
1,256,21.432734,0.0056087999837473035
1,512,37.907663,0.005880400014575571
1,1024,65.215502,0.007333400018978864
1,2048,120.991775,0.009250499948393553
1,4096,218.726001,0.014522399986162782
1,8192,400.351868,0.026385100034531206
1,16384,741.036428,0.04939870000816882
1,32768,1373.620664,0.10244690004037693
1,65536,2571.421212,0.22036699997261167
1,131072,4830.796146,0.47721360001014546
1,262144,9096.922414,1.0717223000247031
2,128,7.55321,0.006855899991933256
2,256,10.611864,0.007497799990233034
2,512,15.028634,0.011426399985793978
2,1024,20.904702,0.025589799974113703
2,2048,29.699684,0.08124269999098033
2,4096,41.722533,0.280044800019823
2,8192,58.996932,1.0335218999534845
2,16384,83.113627,4.138596399978269
2,32768,117.441533,18.35612090001814
3,128,17.637381,0.007160900044254959
3,256,27.718363,0.007878999982494861
3,512,43.311773,0.01264989998890087
3,1024,67.983855,0.028524999972432852
3,2048,106.94138,0.08897610002895817
3,4096,168.999869,0.3160879999632016
3,8192,267.259112,1.2253951999591663
3,16384,422.41426,5.16236250003567
3,32768,668.560721,22.815929500036873
4,128,28.396538,0.0071965999668464065
4,256,47.28769,0.008820400049444288
4,512,78.158954,0.013733300031162798
4,1024,130.47921,0.03243969997856766
4,2048,216.121019,0.09755490004317835
4,4096,361.245398,0.3384603000013158
4,8192,602.921872,1.3126290999935009
4,16384,1008.105511,5.499913499981631
4,32768,1688.326684,24.73016739997547
